Year,Month,Immature ,Mature
2003,6,27,270
2003,6,33,62
2003,6,7,334
2003,6,291,3682
2003,6,320,3191
2003,6,220,1047
2003,6,16,110
2003,6,24,381
2003,6,0,27
2003,6,127,190
2003,6,0,0
2003,6,83,583
2003,6,34,304
2003,6,223,2045
2003,6,891,3898
2003,6,319,1197
2003,6,66,117
2003,6,0,89
2003,6,0,19
2003,6,0,0
2003,6,0,0
2003,6,13,109
2003,6,46,387
2003,6,209,1760
2003,6,215,897
2003,6,270,184
2003,6,2,19
2003,6,1,21
2003,6,1,5
2003,6,1531,16744
2003,6,94,1942
2003,6,46,920
2003,6,51,538
2003,7,8,127
2003,7,20,197
2003,7,0,80
2003,7,0,95
2003,7,5,179
2003,7,2,249
2003,7,12,454
2003,7,0,88
2003,7,0,18
2003,7,0,67
2003,7,0,19
2003,7,0,1
2003,7,2,52
2003,7,0,7
2003,7,0,0
2003,7,0,11
2003,7,0,6
2003,7,0,12
2003,7,0,51
2003,7,1,105
2003,7,1,399
2003,7,0,98
2003,7,7,583
2003,7,0,442
2003,7,0,3
2003,7,9,42
2003,7,1,20
2003,7,0,9
2003,7,2,40
2003,7,8,166
2003,7,5,316
2003,7,499,8364
2003,7,30,765
2003,7,14,413
2003,7,26,160
2003,7,36,384
2003,7,92,775
2003,7,3,464
2003,7,15,287
2003,7,2,28
2003,7,3,25
2003,7,13,583
2003,7,10,295
2003,7,17,330
2003,7,2,207
2003,7,46,311
2003,7,29,735
2003,7,14,1691
2003,7,31,1047
2003,7,0,36
2003,7,0,16
2003,7,0,24
2003,7,6,129
2003,7,68,1179
2003,7,119,1358
2003,7,2,275
2003,7,2,87
2003,7,1,17
2003,7,0,60
2003,7,0,98
2003,7,6,239
2003,7,208,493
2003,7,7,191
2003,7,6,19
2003,7,2,6
2003,7,0,63
2003,7,0,124
2003,7,7,2
2003,7,2,3
2003,7,0,74
2003,7,0,2
2003,8,5,86
2003,8,5,52
2003,8,0,164
2003,8,0,32
2003,8,1,56
2003,8,4,588
2003,8,12,445
2003,8,8,90
2003,8,0,7
2003,8,3,176
2003,8,0,19
2003,8,0,21
2003,8,2,83
2003,8,5,106
2003,8,8,205
2003,8,0,55
2003,8,0,0
2003,8,0,0
2003,8,0,6
2003,8,0,2
2003,8,0,14
2003,8,1,42
2003,8,18,25
2003,8,0,34
2003,8,2,636
2003,8,0,136
2003,8,1,68
2003,8,4,264
2003,8,4,50
2003,8,132,636
2003,8,17,321
2003,8,5,213
2003,8,3,71
2003,8,4,96
2003,8,6,124
2003,8,12,811
2003,8,68,1144
2003,8,0,6
2003,8,32,970
2003,8,25,157
2003,8,128,1346
2003,8,143,1198
2003,8,2,382
2003,8,14,273
2003,8,69,850
2003,8,57,437
2003,8,3,77
